,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
29,1429,487887,4669149,0,0,0,0,2013,9517,9518
30,1430,492025,4671252,0,0,0,0,2013,5459,5460
31,1431,493438,4669204,0,0,0,0,2013,12227,12228
32,1432,464177,4675177,NA,NA,NA,0,2013,8060,8061
38,1438,494163,4676111,0,0,1,0,2013,3019,3020
41,1441,478018,4677931,0,0,0,0,2013,920,921
42,1442,483759,4678278,1,0,0,0,2013,8024,8025
44,1444,498545,4679096,0,0,0,0,2013,3509,3510
45,1445,470187,4683822,0,NA,0,0,2013,6520,6521
46,1446,482947,4682711,1,0,1,0,2013,1772,1773
50,1450,502737,4682450,0,NA,0,0,2013,3640,3641
53,1453,494777,4686127,0,0,1,0,2013,1657,1658
55,1455,510618,4686977,0,0,0,0,2013,584,585
65,1465,505982,4694571,0,0,0,0,2013,8047,8048
70,1701,395577,4670197,0,0,0,0,2013,4771,4772
71,1702,392311,4674868,NA,0,0,0,2013,3004,3005
72,1703,397760,4676387,0,0,0,0,2013,4926,4927
74,1705,409844,4679370,0,0,NA,NA,2013,2615,2616
75,1706,413676,4678601,0,0,0,NA,2013,5133,5134
76,1707,428026,4675433,0,0,0,0,2013,5916,5917
77,1708,432178,4674122,0,1,0,NA,2013,7253,7254
78,1709,436669,4675228,0,0,NA,NA,2013,10073,10074
79,1710,440621,4674591,0,0,NA,NA,2013,1914,1915
80,1711,444224,4675547,0,0,1,0,2013,2782,2783
81,1712,448824,4674017,0,0,0,0,2013,2669,2670
82,1713,428944,4678802,0,0,NA,0,2013,4813,4814
87,1718,427576,4682039,NA,1,0,0,2013,4187,4188
104,1735,462612,4690235,0,NA,0,0,2013,10276,10277
110,1741,398442,4689906,0,0,0,1,2013,7375,7376
111,1742,402874,4690250,0,0,0,0,2013,5141,5142
127,1801,308436,4662898,0,0,0,0,2013,3556,3557
128,1802,303977,4667528,0,0,0,0,2013,7165,7166
130,1804,313031,4667977,NA,NA,NA,NA,2013,11369,11370
133,1807,321713,4667824,0,0,0,0,2013,8782,8783
134,1808,320326,4671414,0,0,0,0,2013,7414,7415
140,1814,324248,4674698,0,0,0,0,2013,6838,6839
144,1818,340172,4674528,0,0,0,0,2013,3446,3447
145,1819,344534,4674716,0,0,0,0,2013,8117,8118
146,1820,358725,4674892,0,0,0,0,2013,6248,6249
147,1821,287914,4678120,0,0,0,0,2013,8744,8745
148,1822,297478,4677588,NA,NA,NA,NA,2013,10226,10227
154,1828,339999,4679889,0,0,0,1,2013,110,111
163,1837,313369,4681579,0,0,0,0,2013,3513,3514
164,1838,320253,4682812,0,0,1,0,2013,12510,12511
170,1844,346908,4681915,0,0,0,0,2013,7807,7808
172,1846,358994,4677286,0,0,0,0,2013,6565,6566
173,1847,364466,4683470,0,0,0,0,2013,6756,6757
174,1848,366170,4681933,0,0,0,0,2013,403,404
175,1849,370605,4681962,0,0,1,0,2013,9727,9728
176,1850,371327,4679035,0,0,0,0,2013,11392,11393
177,1851,374555,4682595,0,0,0,0,2013,11669,11670
182,1856,376417,4686263,0,0,0,0,2013,6996,6997
185,1859,318097,4688191,0,0,0,0,2013,1232,1233
186,1860,317148,4690301,0,0,NA,0,2013,1750,1751
187,1861,321202,4690243,0,0,0,0,2013,12588,12589
195,1869,336146,4694402,0,0,0,0,2013,7655,7656
196,1870,347377,4685291,0,0,0,0,2013,7314,7315
197,1871,358695,4686173,0,0,0,0,2013,2299,2300
204,1878,391398,4686288,0,0,0,0,2013,3423,3424
207,1881,390572,4689226,0,0,0,0,2013,11849,11850
208,1882,394664,4689677,0,0,0,0,2013,3546,3547
209,1883,395683,4693498,0,0,0,0,2013,11751,11752
214,1901,227291,4658244,0,0,0,0,2013,8061,8062
215,1902,231817,4659769,0,0,0,0,2013,1055,1056
219,1906,246419,4660592,0,0,0,0,2013,4976,4977
220,1907,250803,4660201,0,0,0,0,2013,12096,12097
221,1908,253206,4659805,0,1,0,0,2013,8765,8766
226,1913,220423,4668902,0,0,0,0,2013,12530,12531
229,1916,244722,4668090,0,0,0,0,2013,5734,5735
232,1919,234125,4671782,0,1,1,1,2013,3914,3915
233,1920,238302,4672842,0,0,0,0,2013,12162,12163
237,1924,236006,4674660,0,0,0,0,2013,12162,12163
240,1927,224118,4681745,1,1,0,1,2013,4314,4315
243,1930,243784,4684466,1,0,0,0,2013,12398,12399
244,1931,263854,4681933,0,0,0,0,2013,4737,4738
245,1932,220021,4686143,0,0,0,0,2013,7630,7631
246,1933,222431,4685714,1,0,0,0,2013,7630,7631
249,1936,243328,4685384,0,0,0,0,2013,12398,12399
250,1937,259863,4686157,0,0,1,0,2013,1308,1309
251,1938,262794,4685253,0,0,0,0,2013,7788,7789
252,1939,266389,4687566,0,1,0,0,2013,8505,8506
259,1946,238913,4690113,0,0,0,0,2013,9538,9539
262,1949,256972,4691661,0,0,0,0,2013,10968,10969
263,1950,263832,4691321,0,0,0,0,2013,10486,10487
275,1962,259330,4694777,0,0,0,0,2013,1642,1643
276,1963,262886,4694710,0,0,0,0,2013,11774,11775
277,1964,265516,4694776,0,0,0,0,2013,4236,4237
280,1967,219566,4696864,0,0,0,0,2013,8894,8895
286,1973,257089,4697780,0,0,0,0,2013,9392,9393
287,1974,262939,4697586,0,0,0,0,2013,1433,1434
299,1986,267954,4711034,0,1,0,1,2013,870,871
300,1987,270433,4708576,0,0,1,0,2013,6444,6445
301,1,452678,4654105,0,0,0,NA,2014,11292,11293
302,2,456117,4655209,0,0,1,NA,2014,3710,3711
