FID,Station,o1,o2,o3,o4,o5,year,utm_x,utm_y,FID_allNY_,FID_allNY_10km
566,7A5,0,0,0,0,0,2017,432235.736,4708662.027,6981,6982
624,7A6,0,0,0,0,0,2017,416348.841,4714275.5,9729,9730
656,7A7,0,0,0,0,0,2017,424328.78,4717849.941,3735,3736
648,7A8,0,0,0,0,0,2017,428230.205,4717289.885,12129,12130
572,7A9,0,0,0,0,0,2017,422896.626,4709354.454,3018,3019
488,7B1,0,0,0,0,0,2017,430015.833,4699195.831,2484,2485
396,7B10,0,0,0,0,0,2017,425747,4690945,9737,9738
451,7B11,0,0,0,0,0,2017,428356,4695846,7612,7613
436,7B12,0,0,0,0,NA,2017,426907,4694825,7454,7455
438,7B13,0,0,0,0,0,2017,422362,4694893,4231,4232
463,7B2,0,0,0,0,0,2017,430516.909,4697476.224,7612,7613
413,7B3,0,0,0,0,0,2017,424341.926,4693405.939,4231,4232
409,7B4,0,0,0,0,0,2017,427648.675,4693238.805,7454,7455
435,7B5,0,0,0,0,0,2017,430212.537,4694677.489,11175,11176
456,7B6,0,0,0,0,0,2017,424771.666,4696085.402,4423,4424
448,7B7,0,0,0,0,0,2017,420282.596,4695498.832,5642,5643
460,7B8,0,0,0,0,0,2017,422039.497,4697180.335,4423,4424
496,7B9,0,0,0,0,0,2017,425495.493,4699294.798,3788,3789
421,7C1,0,0,0,0,0,2017,363853.071,4693626.449,4960,4961
400,7C2,0,0,0,0,0,2017,364124.786,4691078.494,4108,4109
395,7C3,0,0,0,0,0,2017,366966.47,4690618.475,238,239
276,7C4,0,0,0,0,0,2017,370650.78,4681952.099,9727,9728
375,7C5,0,0,0,0,0,2017,366756.49,4687157.888,12862,12863
333,7C6,0,0,1,0,0,2017,361911.864,4684800.065,6756,6757
368,7C7,0,0,0,0,0,2017,360823.271,4686828.854,2299,2300
377,7C8,0,0,0,0,0,2017,371300.677,4687160.73,9448,9449
405,7C9,0,0,0,0,0,2017,359181.8,4693172.385,12151,12152
402,7Cat1,0,0,0,0,0,2017,361438,4692788,12151,12152
388,7Cat2,0,0,0,0,0,2017,360020,4690409,1358,1359
384,7Cat3,0,0,0,0,0,2017,363024,4689286,4108,4109
344,7Cat4,0,0,0,0,0,2017,364625,4685844,696,697
304,7Cat5,0,1,0,1,1,2017,442763,4683029,8900,8901
238,7Cat6,1,0,1,0,1,2017,443269,4679494,12780,12781
215,7Cat8,1,0,1,0,0,2017,445620,4677940,94,95
232,7D1,0,0,0,0,0,2017,440183.006,4678883.433,3412,3413
369,7D2,0,0,0,0,0,2017,447493.453,4686896.61,8467,8468
214,7D3,0,0,0,0,0,2017,448866.748,4677936.548,796,797
251,7D4,0,0,0,0,0,2017,451810.716,4680183.179,7452,7453
268,7D5,0,1,0,1,1,2017,446411.438,4681795.755,7444,7445
261,7D6,0,0,0,0,0,2017,444374.442,4681320.794,7444,7445
323,7D7,1,1,1,1,1,2017,443774.051,4684291.52,8900,8901
292,7D8,0,1,0,0,0,2017,451050.374,4682550.265,5883,5884
228,7D9,0,1,0,1,0,2017,445665.926,4678683.44,94,95
281,8A1,0,0,0,0,0,2017,328540,4682057,12093,12094
361,8A10,0,1,0,0,0,2017,328574,4686654,2879,2880
264,8A11,0,0,0,0,0,2017,328437,4681619,12093,12094
326,8A12,0,0,0,0,0,2017,332566,4684432,1848,1849
266,8A13,0,1,1,0,0,2017,335265,4681721,12891,12892
252,8A2,1,0,0,0,1,2017,328983,4680479,12093,12094
285,8A3,0,0,1,1,1,2017,333339,4682325,10713,10714
353,8A4,0,0,1,0,0,2017,326454,4686155,6306,6307
324,8A5,1,0,1,1,0,2017,331195,4684301,1848,1849
329,8A6,0,0,0,0,0,2017,333101,4684689,1848,1849
223,8A7,0,0,0,0,0,2017,335503,4678251,4055,4056
381,8A8,0,0,0,0,0,2017,328440,4688614,2879,2880
302,8A9,0,1,1,0,1,2017,335422,4683022,10713,10714
311,8B1,0,0,0,0,0,2017,340575,4683144,4395,4396
208,8B11,0,0,0,0,0,2017,341849,4677014,8177,8178
225,8B13,NA,0,0,0,0,2017,349388,4678523,11629,11630
206,8B2,0,0,NA,0,0,2017,351472,4675313,368,369
219,8B3,0,0,0,0,0,2017,346536,4678227,9857,9858
337,8B4,0,0,0,0,0,2017,347290,4685295,7314,7315
229,8B5,0,0,NA,0,0,2017,342724,4678764,8177,8178
278,8B6,0,0,0,0,0,2017,346897,4681993,7807,7808
247,8B7,1,0,0,0,0,2017,340052,4679915,110,111
200,8B8,0,0,0,0,0,2017,344497,4674455,8117,8118
235,8B9,0,0,0,0,0,2017,350818,4679160,3194,3195
524,8C1,0,0,0,0,0,2017,296636,4704239,11520,11521
541,8C10,0,0,0,0,1,2017,297661,4705743,347,348
548,8C11,1,0,0,0,1,2017,291147,4706510,12838,12839
544,8C2,1,0,1,1,0,2017,289841,4706147,12838,12839
576,8C3,1,1,1,0,1,2017,288741,4709390,3578,3579
521,8C4,1,0,0,0,1,2017,292001,4703506,7113,7114
546,8C5,1,0,0,0,1,2017,292844,4706162,967,968
570,8C6,0,0,0,0,0,2017,297166,4709167,11249,11250
519,8C7,0,0,1,1,1,2017,288951,4702629,6948,6949
515,8C8,0,0,1,0,0,2017,285423,4701952,5847,5848
584,8C9,0,0,0,0,0,2017,293106,4709985,9092,9093
347,8D1,NA,1,1,0,0,2017,305237,4685863,4710,4711
241,8D10,0,1,1,0,0,2017,301136,4679839,2614,2615
309,8D11,0,NA,1,1,1,2017,294707,4683073,10523,10524
295,8D12,0,0,0,0,0,2017,301296,4682678,4197,4198
211,8D2,1,1,0,0,0,2017,303558,4677806,2431,2432
287,8D3,0,0,0,0,0,2017,289896,4682332,2250,2251
307,8D4,1,0,0,0,0,2017,297792,4683048,2047,2048
262,8D5,0,0,0,1,0,2017,302366,4681374,11152,11153
359,8D6,1,0,1,0,1,2017,293295,4686569,436,437
316,8D7,0,0,1,0,1,2017,292700,4683635,10523,10524
349,8D8,1,0,0,0,0,2017,296917,4686009,2847,2848
356,8D9,1,1,1,1,0,2017,301699,4686377,11174,11175
615,9A1,0,0,0,0,0,2017,236656,4713171,10097,10098
539,9A10,0,0,NA,0,0,2017,234412.664,4705739.19,10571,10572
563,9A11,0,0,0,0,0,2017,235308.291,4708504.381,5358,5359
529,9A2,0,0,0,0,0,2017,238801,4704327,10772,10773
627,9A3,0,0,0,0,0,2017,239646,4714360,6183,6184
531,9A4,0,0,0,0,0,2017,236448,4704330,11368,11369
582,9A5,0,0,0,0,0,2017,239342,4709925,9411,9412
551,9A6,0,0,0,0,0,2017,234067,4707287,10571,10572
590,9A7,0,0,0,0,0,2017,235578,4711029,10097,10098
553,9A8,0,0,0,0,0,2017,236891,4707629,5358,5359
578,9A9,0,0,0,0,0,2017,231430,4709578,11968,11969
534,9B1,0,0,0,0,0,2017,267842,4704988,6715,6716
410,9B2,0,0,1,0,0,2017,260873,4693309,11774,11775
477,9B3,0,0,0,0,1,2017,271741,4698231,2566,2567
453,9B4,0,0,1,1,0,2017,267028,4695854,199,200
471,9B5,0,1,1,0,0,2017,262026,4697668,1433,1434
419,9B6,0,1,0,0,0,2017,256342,4693538,1668,1669
509,9B7,0,0,0,1,0,2017,258033,4701612,11825,11826
503,9B8,0,0,0,0,1,2017,261743,4701240,8426,8427
500,9B9,0,0,0,0,0,2017,267139,4699852,5468,5469
392,9C1,0,0,0,0,0,2017,188230,4690612,9682,9683
427,9C2,0,0,0,0,0,2017,189839,4694616,7293,7294
244,9C3,0,1,0,1,1,2017,193162,4679899,3705,3706
270,9C4,1,0,0,1,0,2017,187461,4681808,11601,11602
283,9C5,0,0,0,0,0,2017,194458,4682314,3280,3281
297,9C6,0,1,0,0,0,2017,199374,4682711,10583,10584
341,9C7,0,0,0,0,0,2017,194223,4685435,3280,3281
378,9C8,1,0,1,0,0,2017,188401,4688207,2143,2144
363,9C9,0,0,0,0,0,2017,187141,4686786,12837,12838
482,9Cat1,0,1,0,0,1,2017,264676,4698440,11909,11910
497,9Cat2,0,0,0,0,1,2017,260279,4699341,2137,2138
440,9Cat3,0,0,0,1,0,2017,257500,4695079,2483,2484
445,9Cat4,0,0,0,0,0,2017,265266,4695407,7850,7851
